conversation_id,conversation
1,"{
  ""conversation"": [
    {
      ""user"": ""Hello! Mujhe ek romantic(genre) Bollywood movie dekhni hai jo dil ko choo le aur music bhi zabardast ho."",
      ""agent"": ""Arey wah! Aapke liye perfect movie hai 'Aashiqui 2(movie)'. Iss film mein pyaar ki kahani ke saath-saath gaane bhi dil ko choo lene wale hain. Aditya Roy Kapur(actor) aur Shraddha Kapoor(actor) ki chemistry kamaal ki hai.""
    },
    {
      ""user"": ""'Aashiqui 2(movie)' ke baare mein suna hai, bahut popular thi. Koi aur isi tarah ki movie suggest kar sakte ho?"",
      ""agent"": ""Bilkul! Agar aapko romantic movies pasand hain toh 'Yeh Jawaani Hai Deewani(movie)' zaroor dekhiye. Iss movie mein Ranbir Kapoor(actor) aur Deepika Padukone(actor) hain. Romantic(genre) moments ke saath-saath(genre) dosti, adventure(genre), aur bahut achhe gaane bhi hain.""
    },
    {
      ""user"": ""Waah! 'Aashiqui 2(movie)' aur 'Yeh Jawaani Hai Deewani(movie)' dono hi behtareen lag rahi hain. Thank you recommendation ke liye!""
    }
  ],
  ""movies"": [""Aashiqui 2"", ""Yeh Jawaani Hai Deewani""]
}"
2,"{
  ""conversation"": [
    {
      ""user"": ""Oye! Koi zabardast comedy movie suggest kar, yaar. Aisi jo dekh ke pet dard ho jaaye hasne se."",
      ""agent"": ""Arre bhai, toh 'Hera Pheri' dekh lo! Isme Paresh Rawal, Akshay Kumar, aur Sunil Shetty ka combo ekdum solid hai. Guarantee hai, hansi ke maare tum lot-pot ho jaoge.""
    },
    {
      ""user"": ""Haan yaar, 'Hera Pheri' toh classic hai! Koi naya maal hai kya market mein?"",
      ""agent"": ""Accha, naya chahiye? Toh 'Fukrey' series try karo. Pehli wali dekho, phir uske sequels bhi hain. Chutki bhar mein mood fresh ho jayega!""
    },
    {
      ""user"": ""'Fukrey' ka naam suna hai, lekin abhi tak dekhi nahi. Kya scene hai iss movie ka?"",
      ""agent"": ""'Fukrey' mein Delhi ke char lafange dost hain jo bina mehnat ke paisa kamane ke chakkar mein fas jaate hain. Bholi Punjaban naam ki ek local goon se panga le lete hain. Phir jo hota hai na, woh dekhke tum has-has ke pagal ho jaoge. Richa Chadha ka role ekdum killer hai!""
    },
    {
      ""user"": ""Arre waah! Yeh toh ekdum mast lag raha hai. Thanks bhai, weekend sorted!""
    }
  ],
  ""movies"": [""Hera Pheri"", ""Fukrey""]
}
"
3,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, kuch aisa bata jo thoda darr bhi lagaaye aur hasaaye bhi. 'Stree' jaisi koi movie hai kya?"",
      ""agent"": ""Arre haan! 'Bhool Bhulaiyaa 2' dekhi hai kya? Kartik Aaryan aur Kiara Advani ki. Ekdum mast blend hai comedy aur horror ka.""
    },
    {
      ""user"": ""Nahi yaar, abhi tak nahi dekhi. Kaisi hai? 'Stree' se compare kar sakte hain?"",
      ""agent"": ""'Stree' se thodi alag hai, lekin maza zaroor aayega. Isme bhi bhoot-pret ka drama hai, par saath mein Kartik Aaryan ki comedy timing zabardast hai. Ek haunted haveli, ek purani aatma, aur upar se Rajpal Yadav ke punches - perfect combo!""
    },
    {
      ""user"": ""Wah! Yeh toh interesting lag raha hai. Koi aur isi genre ki movie hai?"",
      ""agent"": ""Haan, agar aur chahiye toh 'Go Goa Gone' try karo. Zombie-comedy hai. Saif Ali Khan, Kunal Khemu, aur Vir Das ne kamaal ka kaam kiya hai. Goa mein zombie outbreak ho jaata hai, aur phir jo masti hoti hai na, dekhne layak hai!""
    },
    {
      ""user"": ""Arre waah! 'Go Goa Gone' ka naam suna tha, par kabhi dekhi nahi. Dono movies kaafi interesting lag rahi hain. Thanks yaar, weekend ka plan ban gaya!""
    }
  ],
  ""movies"": [""Bhool Bhulaiyaa 2"", ""Go Goa Gone""]
}
"
4,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi zabardast adventure movie suggest kar. Aisi jo dekhkar maza aa jaye aur thoda excitement bhi mile."",
      ""agent"": ""Arre, toh 'Zindagi Na Milegi Dobara' dekho! Road trip, Spain ki khubsurti, aur teen dosto ki masti. Skydiving se lekar bull running tak, har scene mein adventure hai.""
    },
    {
      ""user"": ""Haan yaar, 'ZNMD' toh dekh li. Koi aur nayi adventure film hai?"",
      ""agent"": ""Accha, toh 'Karwaan' try karo. Irrfan Khan, Dulquer Salmaan, aur Mithila Palkar ki hai. Road trip pe nikalte hain ye log, aur raaste mein kya-kya hota hai, dekhne layak hai!""
    },
    {
      ""user"": ""'Karwaan' ka naam pehli baar sun raha hoon. Kya scene hai iska?"",
      ""agent"": ""Bhai, 'Karwaan' mein ek ajeeb sa road trip hai. Dulquer ko galti se kisi aur ki laash mil jaati hai, aur woh use sahi jagah pahunchane ke liye nikal padta hai. Raaste mein Irrfan aur Mithila jud jaate hain. Phir jo adventure hota hai na, woh dekhkar tum has bhi loge aur thoda emotional bhi ho jaoge. Irrfan ki acting toh kamaal ki hai hi!""
    },
    {
      ""user"": ""Waah! Yeh toh kaafi interesting lag raha hai. Koi aur bhi hai aise hi?"",
      ""agent"": ""Haan, ek aur hai - 'Qarib Qarib Singlle'. Irrfan Khan aur Parvathy Thiruvothu ki. Online dating app se mile do anjaan log saath mein trip par nikal padte hain. North India ke alag-alag shehron mein ghoomte hain, aur beech mein bohot saare twist aate hain. Adventure ke saath-saath romance bhi hai!""
    },
    {
      ""user"": ""Arre waah! Dono movies kaafi acchi lag rahi hain. Thanks yaar, ab toh dekhni hi padegi!""
    }
  ],
  ""movies"": [""Zindagi Na Milegi Dobara"", ""Karwaan"", ""Qarib Qarib Singlle""]
}
"
5,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi desi time travel movie dekhni hai. Kuch hai kya iss genre mein?"",
      ""agent"": ""Arre haan! 'Baar Baar Dekho' dekhi hai kya? Sidharth Malhotra aur Katrina Kaif ki. Time travel ka concept bohot interesting tarike se use kiya hai ismein.""
    },
    {
      ""user"": ""Nahi yaar, naam suna hai par dekhi nahi. Kya scene hai iska?"",
      ""agent"": ""Dekho, 'Baar Baar Dekho' mein Sidharth ka character apni shaadi ke din se future mein jump karta rehta hai. Har jump mein woh apni zindagi ke alag-alag stages dekhta hai. Interesting concept hai, aur time travel ke saath love story bhi hai.""
    },
    {
      ""user"": ""Waah! Yeh toh kaafi hatke lag raha hai. Koi aur bhi hai time travel wali?"",
      ""agent"": ""Haan, 'Action Replayy' bhi try kar sakte ho. Akshay Kumar aur Aishwarya Rai ki hai. Ismein beta apne parents ki love story theek karne ke liye past mein jaata hai. Retro feel ke saath time travel ka maza milega.""
    },
    {
      ""user"": ""Oh nice! Yeh dono toh dekhni padegi. Aur koi hai kya?"",
      ""agent"": ""Ek aur hai - 'Love Story 2050'. Priyanka Chopra aur Harman Baweja ki. Yeh thodi hatke hai, kyunki ismein future mein time travel hota hai. 2050 ke Mumbai ki kalpana dikhaayi gayi hai. Special effects acche hain, par story thodi weak hai. Phir bhi, time travel ke shauk ke liye dekh sakte ho.""
    },
    {
      ""user"": ""Wah! Teen options de di tumne. Ab toh weekend sorted hai mera. Thanks yaar!""
    }
  ],
  ""movies"": [""Baar Baar Dekho"", ""Action Replayy"", ""Love Story 2050""]
}
"
6,"{
  ""conversation"": [
    {
      ""user"": ""Yaar, koi thriller-type ki movie suggest kar. Kuch aisa jo dimag ghuma de."",
      ""agent"": ""Arre, toh 'Haseen Dillruba' dekho! Taapsee Pannu, Vikrant Massey aur Harshvardhan Rane ki hai. Ekdum solid murder mystery hai.""
    },
    {
      ""user"": ""Accha? 'Haseen Dillruba' ke baare mein suna toh hai, par pata nahi kya scene hai. Bata na zara."",
      ""agent"": ""Bhai, ismein ek small town love story hai jo murder mystery mein badal jaati hai. Taapsee ka character ek pulp fiction writer se shaadi karke chote se sheher mein aati hai. Phir kya hota hai - pati ka murder ho jaata hai aur saare shak Taapsee par! Ab police ko samjhana ki woh begunah hai ya nahi, yeh dekhna maza aayega.""
    },
    {
      ""user"": ""Waah! Yeh toh kaafi interesting lag raha hai. Koi twist-vist hai kya end mein?"",
      ""agent"": ""Arre bhai, twist toh hai, par spoiler nahi dunga! Bas itna bata doon ki story mein aisa mod aata hai jo tumhe hila dega. Harshvardhan Rane ka entry bhi game changer hai. Aur haan, beech-beech mein kuch pulp fiction ke references bhi milenge jo story ko aur bhi interesting bana dete hain.""
    },
    {
      ""user"": ""Nice yaar! Ab toh dekhni hi padegi. Critics ne kya kaha iske baare mein?"",
      ""agent"": ""Critics ki mixed reactions thi. Kuch ne story aur performances ki tareef ki, especially Taapsee aur Vikrant ki. Kuch ko laga ki ending thodi over-the-top hai. Par overall, logon ne ise entertaining maana. Kahaani ka structure aur small town ka setting sabko pasand aaya. Tum khud dekh lo, apna verdict do!""
    },
    {
      ""user"": ""Done bhai! Aaj raat ka plan ban gaya. Thanks for the suggestion!""
    }
  ],
  ""movies"": [""Haseen Dillruba""]
}
"
7,"{
  ""conversation"": [
    {
      ""user"": ""Bhai, kal raat ko TV pe koi movie chal rahi thi. Kuch Vijay Salgaonkar naam ka banda tha usme. Bohot intense thi yaar!"",
      ""agent"": ""Arre, woh toh 'Drishyam' hogi! Ajay Devgn ki film hai. Kaisi lagi? Poori dekh paaye?""
    },
    {
      ""user"": ""Nahi yaar, beech mein hi TV band karna pada. Par jo dekha, usne toh dimag hila diya. Yeh Vijay ka character kya mast tha!"",
      ""agent"": ""Haan, Vijay Salgaonkar ka role bohot strong hai. Ek aam aadmi jo apne parivar ko bachane ke liye kuch bhi kar sakta hai. Poori film dekhoge toh mind blown ho jaega!""
    },
    {
      ""user"": ""Accha? Ab toh dekhni padegi poori. Waise, iska koi sequel-vequel bhi hai kya?"",
      ""agent"": ""Bilkul hai! 'Drishyam 2' aayi thi 2022 mein. Usi Vijay Salgaonkar ki kahani aage badhti hai. 7 saal baad ki story hai.""
    },
    {
      ""user"": ""Oh wow! Usme kya hota hai? Koi naya twist hai kya?"",
      ""agent"": ""Twist toh bahut saare hain! Pehle wali case phir se khul jaati hai. Vijay ko phir se apni family ko bachana padta hai. Lekin iss baar police zyada smart hai, aur Vijay ke paas pehle se bhi zyada khatarnak plan hai. Tabiyal hila dene wali hai yeh sequel!""
    },
    {
      ""user"": ""Arre baap re! Ab toh dono hi dekhni padegi. Kaunsi wali pehle dekhun?"",
      ""agent"": ""Pehle 'Drishyam' dekho, phir 'Drishyam 2'. Kyunki sequel mein pehli wali ke events ka recall hota hai. Dono saath mein dekhoge toh maza dugna ho jaega!""
    },
    {
      ""user"": ""Sahi baat hai! Weekend ka plan set ho gaya. Thanks yaar, tune toh kamaal kar diya suggest karke!""
    }
  ],
  ""movies"": [""Drishyam"", ""Drishyam 2""]
}
"
8,"{
  ""conversation"": [
    {
      ""user"": ""Oye! Koi dhamakedaar action film bata na yaar. Aisi jo screen pe aag laga de!"",
      ""agent"": ""Abe, 'Jawan' dekh le phir! Shah Rukh Khan ka latest dhamaka hai. Action, thrill, aur King Khan ka swag - sab kuch hai isme.""
    },
    {
      ""user"": ""Arey waah! SRK bhai ka naya avatar? Kya scene hai iska?"",
      ""agent"": ""Bhai, Shah Rukh double role mein hai. Ek vigilante type character hai jo corruption ke khilaaf ladta hai. Nayanthara aur Vijay Sethupathi bhi hain. Deepika ka cameo bhi hai. South style action hai, par Bollywood flavor ke saath. Ekdum paisa vasool!""
    },
    {
      ""user"": ""Solid lagta hai boss! Zaroor dekhenge.""
    }
  ],
  ""movies"": [""Jawan""]
}
"
9,"{
  ""conversation"": [
    {
      ""user"": ""Bhai, kuch hatke comedy-drama type ka batana. Kuch jo dimag pe bhi chale."",
      ""agent"": ""'OMG 2' dekh lo. Akshay Kumar, Pankaj Tripathi aur Yami Gautam hai isme. Pehle wale 'OMG' ka spiritual sequel hai.""
    },
    {
      ""user"": ""Accha? Pehla wala toh mast tha. Iss mein kya hai?"",
      ""agent"": ""Isme sex education pe focus hai. Pankaj Tripathi ka beta ek controversy mein fas jata hai, aur woh case lad raha hai. Akshay Kumar Lord Shiva ke avatar mein aate hain madad karne. Social message ke saath comedy ka tadka hai.""
    },
    {
      ""user"": ""Waah! Yeh toh dekhni padegi. Kaisi reviews mili?"",
      ""agent"": ""Mixed reviews thi. Kuch ne topic ko tackle karne ke tarike ki tareef ki, kuch ko laga thoda preachy hai. Par overall, logo ne entertaining maana. Pankaj Tripathi ki acting ki khaas tareef hui.""
    },
    {
      ""user"": ""Sahi hai. Weekend pe dekhta hoon. Thanks yaar!""
    }
  ],
  ""movies"": [""OMG 2""]
}
"
10,"{
  ""conversation"": [
    {
      ""user"": ""Koi nayi women-centric film hai kya? Kuch jo thoda relatable ho."",
      ""agent"": ""'Sukhee' dekh lo. Shilpa Shetty ki comeback film hai. Drama genre mein hai.""
    },
    {
      ""user"": ""Hmm, Shilpa Shetty waapas aa gayi? Kya story hai?"",
      ""agent"": ""Haan, isme Shilpa ek housewife hai jo apne college reunion pe jaati hai. Wahan jaake usko realize hota hai ki usne apne sapne bhula diye hain. Phir woh apni identity aur khushi dhoondhne ki journey shuru karti hai.""
    },
    {
      ""user"": ""Interesting lag raha hai. Kaisi rahi audience ki response?"",
      ""agent"": ""Mixed rahi. Kuch logon ko laga ki story predictable hai, par bahut saare logon ne ise relatable bataya. Shilpa ki acting ki tareef hui. Agar slice-of-life drama pasand hai to give it a try.""
    },
    {
      ""user"": ""Theek hai, dekhne ka mood hai. OTT pe available hai kya?"",
      ""agent"": ""Haan, abhi OTT pe aa gayi hai. Ek baar dekh lo, ho sakta hai pasand aa jaye. Especially agar aap ya aapki family mein koi homemaker hai to connect kar paoge.""
    },
    {
      ""user"": ""Cool, thanks for the suggestion! Dekhta hoon jald hi.""
    }
  ],
  ""movies"": [""Sukhee""]
}
"
